CIRCUS NAME,VENUE NAME,ADDRESS,CITY,STATE,ZIP,COORDS,City / Area,STATE,Show Date
TEST,Canadian Lakehead Exhibition,425 Northern Ave,Thunder Bay,ON,P7C 2V6,"48.397312565407994, -89.24337771594672",Thunder Bay,ON,"Friday, April 25, 2025"
TEST,Canadian Lakehead Exhibition,425 Northern Ave,Thunder Bay,ON,P7C 2V6,"48.397312565407994, -89.24337771594672",Thunder Bay,ON,"Saturday, April 26, 2025"
TEST,Canadian Lakehead Exhibition,425 Northern Ave,Thunder Bay,ON,P7C 2V6,"48.397312565407994, -89.24337771594672",Thunder Bay,ON,"Sunday, April 27, 2025"
TEST,Canadian Lakehead Exhibition,425 Northern Ave,Thunder Bay,ON,P7C 2V6,"48.397312565407994, -89.24337771594672",Thunder Bay,ON,"Monday, April 28, 2025"
TEST,RioCan Centre,670 Gardiners Rd #616,Kingston,ON,K7M 3X9,"44.24899752673551, -76.5671365026408",Kingston,ON,"Tuesday, May 6, 2025"
TEST,RioCan Centre,670 Gardiners Rd #616,Kingston,ON,K7M 3X9,"44.24899752673551, -76.5671365026408",Kingston,ON,"Wednesday, May 7, 2025"
TEST,RioCan Centre,670 Gardiners Rd #616,Kingston,ON,K7M 3X9,"44.24899752673551, -76.5671365026408",Kingston,ON,"Thursday, May 8, 2025"
TEST,RioCan Centre,670 Gardiners Rd #616,Kingston,ON,K7M 3X9,"44.24899752673551, -76.5671365026408",Kingston,ON,"Friday, May 9, 2025"
TEST,RioCan Centre,670 Gardiners Rd #616,Kingston,ON,K7M 3X9,"44.24899752673551, -76.5671365026408",Kingston,ON,"Saturday, May 10, 2025"
TEST,RioCan Centre,670 Gardiners Rd #616,Kingston,ON,K7M 3X9,"44.24899752673551, -76.5671365026408",Kingston,ON,"Sunday, May 11, 2025"
TEST,RioCan Centre,670 Gardiners Rd #616,Kingston,ON,K7M 3X9,"44.24899752673551, -76.5671365026408",Kingston,ON,"Monday, May 12, 2025"
TEST,Les Promenades Gatineau,1100 Bd Maloney O,Gatineau,QC,J8T 6G3,"45.475242387318396, -75.69672927375112",Gatineau,QC,"Tuesday, May 13, 2025"
TEST,Les Promenades Gatineau,1100 Bd Maloney O,Gatineau,QC,J8T 6G3,"45.475242387318396, -75.69672927375112",Gatineau,QC,"Wednesday, May 14, 2025"
TEST,Les Promenades Gatineau,1100 Bd Maloney O,Gatineau,QC,J8T 6G3,"45.475242387318396, -75.69672927375112",Gatineau,QC,"Thursday, May 15, 2025"
TEST,Les Promenades Gatineau,1100 Bd Maloney O,Gatineau,QC,J8T 6G3,"45.475242387318396, -75.69672927375112",Gatineau,QC,"Friday, May 16, 2025"
TEST,Les Promenades Gatineau,1100 Bd Maloney O,Gatineau,QC,J8T 6G3,"45.475242387318396, -75.69672927375112",Gatineau,QC,"Saturday, May 17, 2025"
TEST,Les Promenades Gatineau,1100 Bd Maloney O,Gatineau,QC,J8T 6G3,"45.475242387318396, -75.69672927375112",Gatineau,QC,"Sunday, May 18, 2025"
TEST,Les Promenades Gatineau,1100 Bd Maloney O,Gatineau,QC,J8T 6G3,"45.475242387318396, -75.69672927375112",Gatineau,QC,"Monday, May 19, 2025"
TEST,Galeries Chagnon,1200 Bd Alphonse-Desjardins,Lévis,QC,G6V 6Y8,"46.796312291547494, -71.17055391787028",Levis,QC,"Tuesday, May 20, 2025"
TEST,Galeries Chagnon,1200 Bd Alphonse-Desjardins,Lévis,QC,G6V 6Y8,"46.796312291547494, -71.17055391787028",Levis,QC,"Wednesday, May 21, 2025"
TEST,Galeries Chagnon,1200 Bd Alphonse-Desjardins,Lévis,QC,G6V 6Y8,"46.796312291547494, -71.17055391787028",Levis,QC,"Thursday, May 22, 2025"
TEST,Galeries Chagnon,1200 Bd Alphonse-Desjardins,Lévis,QC,G6V 6Y8,"46.796312291547494, -71.17055391787028",Levis,QC,"Friday, May 23, 2025"
TEST,Galeries Chagnon,1200 Bd Alphonse-Desjardins,Lévis,QC,G6V 6Y8,"46.796312291547494, -71.17055391787028",Levis,QC,"Saturday, May 24, 2025"
TEST,Galeries Chagnon,1200 Bd Alphonse-Desjardins,Lévis,QC,G6V 6Y8,"46.796312291547494, -71.17055391787028",Levis,QC,"Sunday, May 25, 2025"
